mts,open,close,high,low,volume
1631797200000,48065.974259,48005.0,48098.0,48003.0,12.27879346
1631798100000,48006.0,48027.0,48046.64311785,47955.0,27.66236168
1631799000000,48025.0,47736.0,48025.0,47689.0,27.6540271
1631799900000,47727.0,47508.0,47819.0,47505.0,171.52727572
1631800800000,47507.0,47441.70565756,47667.0,47359.0,175.50183645
1631801700000,47448.09056758,47593.35343525,47593.35343525,47254.0,81.61900404000001
1631802600000,47589.0,47684.0,47728.0,47541.0,78.24655535
1631803500000,47683.0,47600.0,47683.0,47583.83511906,16.84679014
1631804400000,47608.0,47682.0,47767.0,47439.0,88.79295289
1631805300000,47673.0,48118.0,48201.0,47648.0,187.35717094
1631806200000,48117.0,47944.0,48249.0,47909.0,66.1527794
1631807100000,47944.0,48044.0,48051.0,47937.0,50.65589403
1631808000000,48045.0,48106.0,48155.0,48010.0,29.79957589
1631808900000,48105.0,47981.0,48105.0,47981.0,20.54677694
1631809800000,47980.83231657,48046.0,48051.0,47980.0,15.90625634
1631810700000,48047.0,47981.0,48089.0,47939.0,27.99212509
1631811600000,47980.0,48005.0,48042.0,47914.55641688,14.64421863
1631812500000,47997.0,47891.0,47999.0,47891.0,17.87868607
1631813400000,47891.65345648,47650.0,47920.0,47604.0,24.92933978
1631814300000,47650.0,47418.0,47719.0,47379.0,99.82244893
1631815200000,47418.29006939,47503.0,47595.0,47387.0,50.1687939
1631816100000,47497.0,47491.0,47620.0,47311.0,50.44972509
1631817000000,47492.0,47625.0,47636.0,47464.0,20.85923958
1631817900000,47610.0,47667.0,47667.0,47511.0,16.07123628
1631818800000,47667.0,47724.0,47728.25848675,47621.0,30.20670009
1631819700000,47723.0,47685.0,47747.0,47656.0,35.89518427
1631820600000,47686.0,47738.0,47764.0104589,47671.0,22.4720841
1631821500000,47737.0,47459.0,47753.0,47458.0,28.8367107
1631822400000,47459.0,47538.0,47549.0,47432.0,17.86823102
1631823300000,47543.0,47372.0,47543.0,47278.0,27.30771756
1631824200000,47372.0,47431.0,47469.0,47315.67198515,36.23908747
1631825100000,47432.0,47168.0,47435.0,47061.0,148.34537165
1631826000000,47167.0,47295.0,47383.89293482,47127.0,57.41652227
1631826900000,47294.0,47538.0,47538.0,47277.0,61.95050861
1631827800000,47538.02053179,47590.0,47680.0,47538.02053179,17.2695358
1631828700000,47585.0,47677.0,47689.0,47513.0,9.44668986
1631829600000,47675.0,47675.0,47788.0,47662.0,13.016773970000001
1631830500000,47675.53327218,47617.0,47693.0,47610.0,7.90896985
1631831400000,47619.0,47613.0,47685.0,47613.0,2.84965108
1631832300000,47613.0,47655.0,47669.0,47571.0,11.471633
1631833200000,47658.0,47751.0,47844.0,47604.0,23.63674677
1631834100000,47751.0,47823.0,47837.0,47749.0,8.5875401
1631835000000,47822.0,47832.0,47941.0,47761.69630567,52.64483752
1631835900000,47833.0,47782.0,47849.0,47782.0,5.81986202
1631836800000,47782.0,47876.86307031,47885.0,47711.46805331,10.9961352
1631837700000,47876.0,47733.96842198,47886.0,47733.1235812,8.69896821
1631838600000,47733.0,47704.0,47769.0,47671.0,14.168912390000001
1631839500000,47704.0,47534.0,47779.0,47531.0,23.51113665
1631840400000,47536.0,47629.0,47629.0,47475.0,25.49012465
1631841300000,47623.24975353,48001.0,48019.0,47592.0,45.11615526
1631842200000,48000.0,48026.45125991,48113.0,48000.0,48.00162002
1631843100000,48027.0,48058.0,48065.0,48001.11652613,12.44842732
1631844000000,48060.0,47936.31397076,48098.0,47922.0,18.66203596
1631844900000,47936.0,47851.0,47966.0,47851.0,9.36957668
1631845800000,47857.65006791,47836.0,47889.58078676,47836.0,12.29315724
1631846700000,47836.0,47775.0,47850.52610235,47775.0,7.48497564
1631847600000,47774.9607346,47834.0,47835.0,47762.0,12.8698217
1631848500000,47849.0,48004.0,48009.0,47841.0,10.55942717
1631849400000,48009.0,47995.0,48086.85875106,47939.0,12.92344699
1631850300000,47991.0,47936.0,47991.0,47887.0,4.52505454
1631851200000,47936.0,47875.0,47989.0,47847.74070489,18.59017691
1631852100000,47888.0,47959.0,47959.0,47791.0,9.70090063
1631853000000,47960.0,48018.0,48049.0,47960.0,8.36953611
1631853900000,48010.0,48121.0,48149.0,47962.0,13.86448754
1631854800000,48121.0,48077.00232538,48183.0,48077.00232538,7.23374836
